Shortcut Key,Page/Tab,Function (Spec),Function (Code),Function (Help Overlay)
Escape,Global (legacy dispatcher),"Exit to Normal mode; if already in Normal mode, run the page's registered escape action (blurs a focused input, or calls the page's fbKeyActions.escape() handler).",Matches.,"Not shown — this is a raw keydown listener, not an FB.keys binding, so it carries no hint."
/,Global,"Opens the search bar prepopulated with the literal, editable text 'search: ', cursor placed right after it (the default '/' character is prevented).",Matches.,Shown — static NAVIGATION row '/  Search'.
h,Global (legacy dispatcher),"Switch to the previous tab in a horizontal tab strip; when no tab strip exists on the page, falls back to a page-registered 'h' action instead.",Matches.,Not shown as this binding specifically — h is unconditionally excluded from every page's ACTIONS column as a NAVIGATION duplicate; the static 'h/l  Move left / right' row covers it generically.
l,Global (legacy dispatcher),"Switch to the next tab in a horizontal tab strip; falls back to a page-registered 'l' action when there is no tab strip.",Matches.,Not shown as this binding specifically — same NAVIGATION-duplicate exclusion as h.
j,Global (legacy dispatcher),"Move the row cursor down to the next table row; falls back to a page-registered 'j' action, and is inert while a partner-selection side panel owns the keyboard.",Matches.,Not shown as this binding specifically — excluded as a NAVIGATION duplicate; covered generically by 'j/k  Move up / down'.
k,Global (legacy dispatcher),Move the row cursor up to the previous table row; same partner-panel carve-out as 'j'.,Matches.,Not shown as this binding specifically — same NAVIGATION-duplicate exclusion as j.
Enter,"Global (legacy dispatcher, row activation)","Activate the currently focused row — follow its link, or click it.",Matches.,Not shown — no hint field on this raw listener.
a,Global (legacy dispatcher),Run the page's registered 'new' action; inert while the partner-selection panel is open.,Matches.,Not shown at the chrome level (no hint here); shown only when the active page's own FB.keys set separately hints its own 'a' binding (e.g. Bill Edit's 'Add line').
A,Global (legacy dispatcher),Run the page's registered 'attach' action — the universal attach key everywhere; inert while the partner-selection panel is open.,Matches.,"Not shown at the chrome level; shown when the active page hints its own 'A' binding (e.g. Bill Detail's 'Attach', Bill Edit's 'Attach file')."
g,Global — go-to prefix (arm),"Arms a 500ms two-key sequence for the go-to map, unless the currently active page already binds 'g' itself.",Matches.,Not shown as its own row — the overlay instead lists every resolved destination as its own 'g <key>' NAVIGATION row.
g g,Global — go-to map,"Move the list cursor to the first row, then scroll both the list container and the window to the absolute top (fires every registered first-row hook, then forces the scroll on the next animation frame).",Matches.,Not shown as its own row — folded into the static 'gg/G  Move to first / last row' NAVIGATION line.
g d,Global — go-to map,Documented destination: Dashboard.,Navigates to Documents instead — no Dashboard route exists any more.,"Shown — NAVIGATION renders 'g d  Go to Documents', sourced from the live route registry, not the stale spec label."
g r,Global — go-to map,Documented destination: Reports.,No destination exists for this letter at all; the sequence simply cancels and falls through untouched.,"Not shown — no route in the registry carries this letter, so no row renders."
g b,Global — go-to map,Documented destination: Bank.,No destination exists for this letter; the sequence cancels.,"Not shown — same reason, no matching route."
g p,Global — go-to map,g p navigates to Payables.,Matches.,Shown — 'g p  Go to Payables'.
g s,Global — go-to map,g s navigates to Settings.,Matches.,Shown — 'g s  Go to Settings'.
g j,Global — go-to map,g j navigates to Journal.,Matches.,Shown — 'g j  Go to Journal'.
g i,Global — go-to map,g i navigates to Inbox.,Matches.,Shown — 'g i  Go to Inbox'.
g c,Global — go-to map,Documented as opening the company switcher.,Navigates to Calendar instead — the switcher was reassigned to 'g w'.,Shown — 'g c  Go to Calendar' (not the switcher the older documentation describes).
g w,Global — go-to map / company switcher,Not written down under this key at all — the only documented switcher trigger is the (now wrong) 'g c'.,Opens the company switcher.,"Not shown anywhere — the switcher isn't a route-registry entry, so it never gets a NAVIGATION row."
g t,Global — go-to map,No entry exists for this letter in the older documentation.,Navigates to Statements.,Shown — 'g t  Go to Statements'.
g a,Global — go-to map,No entry exists for this letter in the older documentation.,Navigates to Accounting.,Shown — 'g a  Go to Accounting'.
g x,Global — go-to map,No entry exists for this letter in the older documentation.,Navigates to Exchange Rates.,Shown — 'g x  Go to Exchange Rates'.
g <any other key>,Global — go-to map,Cancel — the key proceeds through normal dispatch untouched.,Matches.,N/A — no row renders for a cancelled sequence.
G,Global (legacy fallback),Scroll to the absolute bottom of the page; only fires on pages where no list/form binding set has already claimed 'G'.,Matches.,Not shown as its own row — folded into the static 'gg/G' NAVIGATION line.
?,Global (keyboard),"Open the two-column keyboard-shortcuts overlay; only in Normal mode, never while typing in a field, and only when the active page set has at least one hinted binding.",Matches.,N/A — this is the key that opens the overlay itself.
?,"Global (topbar button, mouse)",Mouse-parity trigger for the same overlay; silently does nothing on a page with no active hinted binding set.,Matches.,"N/A — same trigger as the keyboard '?', mouse path."
+,"Global (topbar button, mouse only)",Described as existing purely to mirror a keyboard command.,"Opens a dropdown of 'create new X' shortcuts; mouse-only, since the keyboard command it was meant to mirror no longer exists.","Not shown anywhere — the overlay documents keyboard bindings only, and this control has none."
ArrowDown,"Global — Search ('/'), open dropdown","Move the highlight to the next row in the dropdown; also opens the empty-state dropdown on the very first press, before any typing.",Matches.,"Not shown — FB.search's keys are handled entirely outside the FB.keys binding-set system, so none of them can carry a hint."
ArrowUp,"Global — Search ('/'), open dropdown",Move the highlight to the previous row.,Matches.,Not shown — same reason.
Enter,Global — Search ('/'),Commit or expand the highlighted row one level; a second Enter on an already-expanded multi-item category commits its first child and navigates.,Matches.,Not shown — same reason.
Escape,Global — Search ('/'),Not given its own line; implied as closing the dropdown.,Clears the bar's text and blurs it.,Not shown — same reason.
"(none — UI label, not a key)",Global — Search ('/') empty state,Quick-pick rows are labeled literally 'Period: <label>'.,Rows are labeled 'Set Period: <label>' instead — an extra word not in the documented text.,"N/A — this is dropdown label text, unrelated to the '?' overlay."
j,Global — Company switcher (open),"Highlight the next option, sticky at the bottom.",Matches.,"Not shown — the switcher is a special-cased dispatch branch, not a registered FB.keys binding set, so none of its keys can carry a hint."
ArrowDown,Global — Company switcher (open),"Highlights the next option, sticky at the bottom (same as 'j').",Matches.,Not shown — same reason.
k,Global — Company switcher (open),"Highlight the previous option, sticky at the top.",Matches.,Not shown — same reason.
ArrowUp,Global — Company switcher (open),"Highlights the previous option, sticky at the top (same as 'k').",Matches.,Not shown — same reason.
Enter,Global — Company switcher (open),"Follow the highlighted anchor — a plain click, exactly the mouse path.",Matches.,Not shown — same reason.
Escape,Global — Company switcher (open),Close the switcher.,Matches.,Not shown — same reason.
g,Global — Company switcher (open),"Implied as the mirror of the opening sequence, not separately spelled out as an arm/timeout.",Arms a 500ms window for a following 'w' to close the switcher.,Not shown — same reason.
w,"Global — Company switcher (open, after 'g')","Documented (under the wrong key, 'g c') as toggling the switcher closed.",Closes the switcher if the preceding 'g' armed it in time.,Not shown — same reason.
Enter,Global — Period Selector popover (open),"Commits any pending custom start/end date edit, then closes the popover.",Matches.,Not shown — implemented as a raw document keydown listener outside the FB.keys system entirely.
Escape,Global — Period Selector popover (open),"Discards any change made since the popover opened, reverting to whatever period was active before, then closes.",Matches.,Not shown — same reason.
(none — mouse only),Global — Period Selector (topbar),Click opens the popover. There is no keyboard trigger — reachable indirectly only via the search dropdown's 'Set Period: Custom…' row.,Matches.,"N/A — nothing to check, since no key exists."
j,Bill Detail (whole page),Move to the next item.,Matches.,Not shown — filtered out as a NAVIGATION duplicate even though it carries the hint 'navigate'.
k,Bill Detail (whole page),Move to the previous item.,Matches.,Not shown — same NAVIGATION-duplicate exclusion.
h,Bill Detail (whole page),Moves to the previous section of the bill (page-specific — not a universal verb).,Matches.,"Not shown — h is in the same unconditional NAVIGATION-duplicate exclusion list, even though it carries the hint 'section left'."
l,Bill Detail (whole page),Moves to the next section of the bill (page-specific).,Matches.,"Not shown — same exclusion, hint 'section right' discarded."
i,Bill Detail (whole page),Enter edit mode.,Matches.,Shown as 'Edit'.
A,Bill Detail (whole page),Universal attach key.,Matches.,Shown as 'Attach'.
x,Bill Detail (whole page),Delete/void the focused item (page-defined; not one universal verb).,Matches.,Shown as 'Delete/void'.
Escape,Bill Detail (whole page),"Calls the page's own escape handler ('Back'), overriding the generic legacy fallback entirely while this page is active.",Matches.,Shown as 'Back'.
a,Bill Edit (whole page),Adds a new line and moves the cursor onto it (generic framework 'add' verb).,Matches.,Shown as 'Add line'.
x,Bill Edit (whole page),"Removes the focused line (generic 'delete' verb, meaningful only on a line row).",Matches.,Shown as 'Delete'.
w,Bill Edit (whole page),Generic 'write' verb — documented as always saving the bill as a draft.,"Posts the bill directly when the header Draft toggle (~) is off; only saves it as a draft when Draft is on (bill-post-payment-consolidation-spec.md §1) — the spec still describes the pre-consolidation, always-draft behavior.","Shown as 'Save' — the hint text is 'save', not the documented 'Write draft'."
Escape,Bill Edit (whole page),Not documented.,"In NORMAL mode (no dropdown open), leaves the editor — invokes the exact function 'q' used to, including its unsaved-changes confirm. In INSERT mode it's unchanged: just exits the field edit back to NORMAL (never writes).",Shown as 'Quit' in NORMAL; shown as 'exit edit' in INSERT — the hint text changes with mode.
A,Bill Edit (whole page),Opens the file picker for a new attachment (universal attach key).,Matches.,Shown as 'Attach file'.
a,Journal Voucher (whole page),Adds a new line and moves the cursor onto it (no-op in read-only view mode).,Matches.,Shown as 'Add line'.
x,Journal Voucher (whole page — line/attachment zones),"Removes the focused line, or the focused staged attachment if the cursor is on the attachments zone (no-op in read-only view mode). Only matches when the cursor is on a line or attachment row — see the header-zone 'x' row further down for what it does elsewhere.",Matches.,Shown as 'Delete'.
w,Journal Voucher (whole page),Posts the entry; blocked with an error message if it is out of balance (no-op in read-only view mode).,Matches.,Shown as 'Post'.
Escape,Journal Voucher (whole page — at rest),Not documented.,"In NORMAL mode, no dropdown open, and NOT in reversal mode: leaves the page the same way 'q' used to. While reversalMode is true, the reversal-mode-rest Escape row further down wins instead (it's a page-specific override that is checked first) — the two never both apply to the same keypress.",Shown as 'Quit' — only when the guard above is satisfied.
A,Journal Voucher (whole page),Opens the file picker for the pending-attachment queue (universal attach key).,Matches.,Shown as 'Attach'.
x,Journal Voucher (whole page — header zone),Not documented.,"At rest on the header row, and only when NOT already reversing: starts a reversal the same way R used to (search-based on a blank entry, direct-populate when viewing a posted batch). This never collides with the line/attachment 'x' above since the header zone (z===1) is disjoint from the line/attachment zones (z===2||3). It is enter-only — pressing x again while already reversing does nothing; Esc (below) is the only way out, by design.",Shown as 'Reversal' — only while the guard above is satisfied.
ArrowDown,Journal Voucher — reversal search (typing mode),Move the highlighted reversal-search result down.,Matches.,"Not shown — the binding's mode is set to the typing mode, and the overlay only renders bindings scoped to normal (rest) mode."
ArrowUp,Journal Voucher — reversal search (typing mode),Move the highlighted reversal-search result up.,Matches.,Not shown — same reason.
Enter,Journal Voucher — reversal search (typing mode),Pick the highlighted reversal-search result; never advances the surrounding form.,Matches.,Not shown — same reason.
Escape,Journal Voucher — reversal search (typing mode),Exit editing back to rest mode only — reversal stays active.,Matches.,Not shown — same reason.
Escape,Journal Voucher — reversal mode (rest mode),"Cancels the whole reversal outright — clears the staged search/description/lines and moves the cursor back to the header. This page-specific override is checked before the plain at-rest Escape (which quits the page) and wins whenever reversalMode is true.",Matches.,"Not shown — no hint field on this binding, even though its mode does qualify."
a,New Company (whole page),Adds a new fiscal-period row and moves the cursor onto it.,Matches.,Shown as 'Add period'.
x,New Company (whole page),Removes the focused period row.,Matches.,Shown as 'Delete period'.
w,New Company (whole page),Creates the company.,Matches.,Shown as 'Create'.
~,Calendar -> Checklist tab,Toggles (attests) the focused manual checklist row; shows an error message if nothing is focused.,Matches.,"Shown as 'Attest' — but only if this particular binding set is the one the overlay happens to resolve as active for the tab; a second, separately registered set on the same tab supplies j/k and could mask it depending on registration order."
j,Calendar -> Checklist tab,Moves the checklist focus to the next row (page-specific row navigation).,Matches.,"Not shown — filtered out as a NAVIGATION duplicate, and it lives in a second binding set the overlay may not even read (see note on '~')."
k,Calendar -> Checklist tab,Moves the checklist focus to the previous row.,Matches.,Not shown — same reason as j.
I,Payables -> Bills tab,Not documented.,Opens the bill in the full editor (draft bills only).,Shown as 'Edit in full editor'.
y,Payables -> Bills tab,Not documented.,"Handles what the retired p/P keys used to do (bill-post-payment-consolidation-spec.md §3): on a draft bill (Draft toggle on), posts it directly; on a posted/partial bill, navigates to the New Payment page (/payment/new?billId=...), pre-scoped to that bill — a page navigation, not an inline panel.",Shown as 'Post/pay'.
x,Payables -> Bills tab,Not documented.,"Voids the focused bill, or voids a payment on a payment-history child row.",Shown as 'Void'.
~,Payables -> Vendors tab,Universal toggle verb — cited as the origin precedent for the whole framework rule; toggles the focused vendor's active flag.,Matches.,Shown as 'Toggle active'.
~,Statements/Books (reports-hub),Toggles the focused MoM/YoY comparison button; re-toggle returns to none (universal toggle verb).,Matches.,Shown as 'Comparison'.
f,Exchange Rates (whole page),Not documented.,Fetches current rates from the ECB.,"Shown — page-level action entries render with their literal label, here 'Fetch Rates', in the same place a hinted binding would appear."
y,Inbox (whole page) — proposal rows,Not documented under this key (only referenced in passing as what an older command alias was retired in favor of).,Approves the proposed journal batch.,Shown as 'Approve' — row-verb labels become the hint text automatically; the row shows regardless of whether the currently focused row actually qualifies.
x,Inbox (whole page) — proposal rows,Same as above.,Rejects the proposed journal batch.,Shown as 'Reject' — same caveat as 'y'.
~,Inbox (whole page) — proposal rows (bank-matched settlement),Not documented.,"Toggles a proposed journal batch's full/partial settlement classification, when the batch carries a bank-match settlement payload.",Shown as 'Toggle full/partial settlement' — only rendered on rows that actually carry a settlement payload.
v,Inbox (whole page) — orphan rows,Not documented.,Opens/downloads the orphaned file in a new tab.,Shown as 'View'.
x,Inbox (whole page) — orphan rows,Not documented.,"Deletes the orphaned file off disk — no app-managed quarantine step any more; download via 'v' first if you want a copy before deleting.",Shown as 'Delete'.
y,Inbox (whole page) — partner rows,Not documented.,"Approves a proposed partner (partner.proposal.approve), via a note-free confirm modal.",Shown as 'Approve'.
x,Inbox (whole page) — partner rows,Not documented.,"Rejects a proposed partner (partner.proposal.reject), via the same note-free modal.",Shown as 'Reject'.
y,Inbox (whole page) — bill-draft rows,Not documented.,"Posts a Class A bill-draft proposal — same 'approve is the post' doctrine as a journal proposal, applied to a different action underneath.",Shown as 'Post'.
x,Inbox (whole page) — bill-draft rows,Not documented.,Discards a bill-draft proposal.,Shown as 'Discard'.
y,Inbox (whole page) — mapping-suggestion rows,Not documented.,"Approves a mapping-rule suggestion (mapping.suggestion.approve), via its own note-free modal.",Shown as 'Approve'.
x,Inbox (whole page) — mapping-suggestion rows,Not documented.,Rejects a mapping-rule suggestion.,Shown as 'Reject'.
x,Inbox (whole page) — input-rejection rows,Not documented.,"Discards an input rejection (input_rejection.discard) — same key as every other row kind's discard/reject verb on this page.",Shown as 'Discard'.
r,Inbox (whole page) — input-rejection rows,Not documented.,"Spec'd as retry — correct the data and re-run the cascade — but has no backing action or edit UI yet.",Shown disabled with the tooltip 'retry: correct the data + re-run — not yet built' — the reserved slot is deliberately visible rather than silently missing.
f,Inbox (whole page) — page-level,"Referenced only as precedent for a different page's later 'f' binding, not documented for Inbox itself.","Cycles the status filter through a six-state loop: proposed -> rejected -> orphans -> partners -> suggestions -> rejections -> proposed. The old 'bills' state is gone (bill-due items now live in the notifications bell); orphans/partners/suggestions/rejections are new.",Shown — page-level action label rendered verbatim: 'filter: proposed<->rejected<->orphans<->partners<->suggestions<->rejections'.
Enter,Inbox (whole page) — approve/reject confirm dialog,Enter in a confirm input fires whichever of Approve/Reject is currently armed.,Matches.,"Not part of the '?' overlay at all — this is a modal button-letter hint shown on the button itself, a different UI surface."
i,Any FB.list-backed tab (generic),Enter edit mode on the focused row.,Matches.,"Shown, grouped with Enter into one row 'i/Enter  Edit' since both carry the identical hint text and sit next to each other in the binding list."
Enter,Any FB.list-backed tab (generic),Edits the focused row (parity with 'i') — opens the same edit path.,Matches.,"Shown, grouped into the same 'i/Enter  Edit' row as above."
a,Any FB.list-backed tab (generic),Add a new blank row.,Matches.,"Shown as 'Add line' (the hint text is hardcoded generically, regardless of what kind of row the list holds)."
x,Any FB.list-backed tab (generic),Deletes the focused row; only present on lists where deletion is enabled.,Matches.,"Shown as 'Delete', on lists where it is present."
w,Any FB.list-backed tab (generic),Writes/saves the focused row's pending edit; only active while that row is dirty.,Matches.,Shown as 'Write'.
u,Any FB.list-backed tab (generic),Undoes/reverts the focused row's pending edit; only active while that row is dirty.,Matches.,Shown as 'Undo'.
Escape,"Any FB.list-backed tab (generic, mid-edit)",Exit editing back to rest mode without saving.,Matches.,"Not shown — the binding's mode is the typing mode, and the overlay renders rest-mode bindings only."
j,Any FB.list-backed tab (generic),Move the row cursor down.,Matches.,Not shown — filtered out as a NAVIGATION duplicate.
k,Any FB.list-backed tab (generic),Move the row cursor up.,Matches.,Not shown — same reason.
gg,Any FB.list-backed tab (generic),Moves the row cursor to the first row (via the shared chrome-level first-row hook).,Matches.,Not shown as its own row — folded into the static 'gg/G' NAVIGATION line; this specific hook has no hint of its own to filter.
G,Any FB.list-backed tab (generic),Move the row cursor to the last row.,Matches.,Not shown — no hint field on this binding.
Space,"Any FB.list-backed tab (generic, tree-style only)",Expands or collapses a folded parent row; only present on tree-style lists.,Matches.,"Shown as 'Expand/Collapse', on the lists where it is present."
~,Any FB.list-backed tab (generic),Universal toggle verb — the framework assigns no fixed meaning; each page wires it to something different (see the page-specific '~' rows above).,Matches.,"Shown only when, and exactly as, the hosting page hints it — visibility and label are entirely page-defined, not generic."
w,"Any FB.list — leave-guard modal (dirty rows, navigating away)","Write the dirty row(s), then continue leaving.",Matches.,"Not part of the '?' overlay — this fires from the modal's own button-letter contract, shown on the button itself (e.g. 'Save w'), a different UI surface."
u,"Any FB.list — leave-guard modal (dirty rows, navigating away)","Undo the dirty row(s), then continue leaving.",Matches.,Not part of the '?' overlay; shown on the modal's own button instead.
Escape,"Any FB.list — leave-guard modal (dirty rows, navigating away)","Stay on the page, cancel the navigation.",Matches.,"Not part of the '?' overlay; modal Escape is documented on the modal itself, not the global help panel."
